Rk,Player,Age,Tm,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,bbref_id,Player_clean,salary_2025_26,salary_imputed
21,Dyson Daniels,21,ATL,SG,76,76,2571,15.6,0.545,0.255,0.152,5.1,14.2,9.6,17.9,4.2,2.0,13.6,18.2,1.3,3.7,5.0,0.093,-1.1,2.6,1.5,2.3,DPOY-2MIP-1DEF1,daniedy01,dyson daniels,7707709.0,False
521,E.J. Liddell,24,CHI,PF,12,0,53,11.1,0.661,0.667,0.133,6.0,11.7,8.9,7.6,0.9,1.6,11.2,14.1,0.1,0.0,0.1,0.108,-2.7,-1.4,-4.1,0.0,,liddeej01,ej liddell,706898.0,False
372,Elfrid Payton,30,2TM,PG,24,9,511,8.5,0.34,0.049,0.057,3.1,13.9,8.3,43.3,2.3,2.1,32.1,15.2,-0.9,0.3,-0.6,-0.057,-5.1,-1.3,-6.4,-0.6,,paytoel01,elfrid payton,3153598.0,False
476,Elijah Harkless,24,UTA,SG,10,0,138,7.8,0.425,0.714,0.171,7.1,9.3,8.2,7.7,3.5,0.7,7.4,12.3,0.0,0.1,0.1,0.023,-5.2,1.5,-3.8,-0.1,,harklej01,elijah harkless,600000.0,True
543,Emanuel Miller,24,CHI,PF,6,0,25,18.1,0.563,0.125,0.25,17.1,16.5,16.8,10.9,1.9,0.0,0.0,14.8,0.1,0.0,0.1,0.201,-0.9,-0.9,-1.8,0.0,,milleem01,emanuel miller,600000.0,True
506,Emoni Bates,21,CLE,SF,10,0,75,9.8,0.487,0.789,0.0,0.0,9.8,5.1,14.2,0.6,1.2,5.0,22.6,0.0,0.1,0.1,0.038,-0.5,-1.0,-1.5,0.0,,batesem01,emoni bates,600000.0,True
463,Enrique Freeman,24,IND,PF,22,1,181,7.4,0.507,0.27,0.514,6.8,11.6,9.2,6.1,0.8,1.5,11.7,12.3,0.0,0.1,0.2,0.046,-4.9,-1.4,-6.3,-0.2,,freemen01,enrique freeman,600000.0,True
315,Eric Gordon,36,PHI,SG,39,13,768,10.8,0.591,0.672,0.235,1.1,5.8,3.4,12.0,1.7,1.5,11.1,14.4,0.7,0.2,0.9,0.053,-0.8,-0.8,-1.6,0.1,,gordoer01,eric gordon,1200000.0,True
63,Evan Mobley,23,CLE,PF,71,71,2167,22.3,0.633,0.254,0.337,8.4,24.0,16.5,15.1,1.4,4.7,12.2,23.2,5.3,3.8,9.0,0.2,3.1,1.5,4.6,3.6,MVP-10DPOY-1ASNBA2DEF1,mobleev01,evan mobley,46394100.0,False
89,Franz Wagner,23,ORL,SF,60,60,2023,20.1,0.558,0.303,0.268,3.0,17.1,9.7,26.6,1.9,1.0,9.6,31.0,2.6,3.1,5.6,0.133,2.6,0.5,3.1,2.6,,wagnefr01,franz wagner,38661750.0,False
